make,model,glide_ratio,vg
Schleicher,ASK-21,34,49
Grob,G103a Twin II,37,57
SZD,Jantar Standard 2/3,40,51
Schempp-Hirth Discus-2,,42,55
Glasflügel H-201 Standard Libelle,,39,45
LS8-18,,43,55
DG-800,,46,60
Schleicher ASW 28,,45,55
Alexander Schleicher ASG 29,,51,60
Jonker JS-1 Revelation,,56,65
Schempp-Hirth Ventus-3,,48,60
Schleicher ASH 31,,50,60
Schleicher ASH 26,,52,55
DG Flugzeugbau DG-1000,,46,50
Rolladen-Schneider LS4,,40,45
DG Flugzeugbau DG-808,,45,55
Schempp-Hirth Nimbus-4,,50,60
Rolladen-Schneider LS6,,48,52
Schleicher ASW 27,,48,55
Schleicher ASW 22,,60,60
Schleicher ASW 24,,42,48
Schempp-Hirth Duo Discus,,44,50
Schleicher Ka6,,29,42
Rolladen-Schneider LS8,,40,48
Schempp-Hirth Mini Nimbus,,41,48
Jonker JS-3 Rapture,,58,65
Lange Antares 20E,,50,60
ETA Aircraft ETA,,70,70
Rolladen-Schneider LS9,,50,50
DG Flugzeugbau DG-100,,39,45
Glasflügel 304,,42,46
Pilatus B4-PC11,,34,45
Schleicher K 7,,27,45
Blanik L-13,,28,42
Stemme S10,,50,58